Seconds,IcoFace,Stereopsis,6DoF,SpatialAudio,HighResolution,AltColour,EyeTrackingOrigin_X,EyeTrackingOrigin_Y,EyeTrackingOrigin_Z,EyeTrackingTarget_X,EyeTrackingTarget_Y,EyeTrackingTarget_Z,5/12/2023 2:23:30 PM
422.516545828,57,1,1,1,1,0,0.08685934,1.723837,-0.03107903,0.8239426,-0.2785346,0.4934949,5/12/2023 2:23:33 PM
422.532397963,57,1,1,1,1,0,0.08358351,1.72405,-0.02816552,0.831818,-0.2794491,0.4795697,5/12/2023 2:23:33 PM
422.558969682,57,1,1,1,1,0,0.08293582,1.724132,-0.02742041,0.8368304,-0.2810918,0.4697897,5/12/2023 2:23:33 PM
422.575424057,57,1,1,1,1,0,0.08034606,1.724257,-0.02512037,0.8408085,-0.2783098,0.464311,5/12/2023 2:23:33 PM
422.600317443,7,1,1,1,1,0,0.0863257,1.723647,-0.03053854,0.8418245,-0.3600679,0.402098,5/12/2023 2:23:33 PM
422.613565255,7,1,1,1,1,0,0.08977766,1.723405,-0.03354584,0.827041,-0.3607465,0.4311213,5/12/2023 2:23:33 PM
422.631302182,7,1,1,1,1,0,0.091405,1.7234,-0.03466193,0.8224532,-0.3726317,0.4297867,5/12/2023 2:23:33 PM
422.655959265,7,1,1,1,1,0,0.08903002,1.723453,-0.03234915,0.8263736,-0.3710504,0.42359,5/12/2023 2:23:33 PM
422.66998989,7,1,1,1,1,0,0.08469793,1.723685,-0.02843566,0.8396818,-0.364597,0.4024969,5/12/2023 2:23:33 PM
422.697243953,57,1,1,1,1,0,0.1055846,1.722304,-0.04676337,0.7886359,-0.3768462,0.48584,5/12/2023 2:23:33 PM
422.711766193,57,1,1,1,1,0,0.1056372,1.722262,-0.0467271,0.7886437,-0.3772979,0.4854764,5/12/2023 2:23:33 PM
422.728807963,57,1,1,1,1,0,0.1057102,1.722309,-0.04674544,0.7912638,-0.3751735,0.4828527,5/12/2023 2:23:33 PM
422.753051192,7,1,1,1,1,0,0.08043375,1.72367,-0.02398572,0.8502732,-0.3694492,0.3748906,5/12/2023 2:23:33 PM
422.768003692,7,1,1,1,1,0,0.08051651,1.723613,-0.02392415,0.8480733,-0.3696606,0.3796352,5/12/2023 2:23:33 PM
422.795276245,7,1,1,1,1,0,0.0824628,1.723163,-0.02542597,0.8457019,-0.3643214,0.3899468,5/12/2023 2:23:33 PM
422.810262807,7,1,1,1,1,0,0.08273619,1.723076,-0.02555923,0.8496346,-0.3632428,0.3823293,5/12/2023 2:23:33 PM
422.836419734,7,1,1,1,1,0,0.08198068,1.722674,-0.02450997,0.8460472,-0.3811506,0.3727308,5/12/2023 2:23:33 PM
422.852129265,7,1,1,1,1,0,0.1064027,1.721198,-0.04622253,0.7829784,-0.4172567,0.4613478,5/12/2023 2:23:33 PM
422.880165047,7,1,1,1,1,0,0.08264747,1.722415,-0.02456188,0.8390639,-0.3953445,0.3737308,5/12/2023 2:23:33 PM
422.895391765,7,1,1,1,1,0,0.08263578,1.722534,-0.02439434,0.8389837,-0.3959432,0.3732767,5/12/2023 2:23:33 PM
422.908363432,7,1,1,1,1,0,0.1065662,1.721056,-0.04576688,0.7848762,-0.4128964,0.4620455,5/12/2023 2:23:33 PM
422.934245307,7,1,1,1,1,0,0.0831135,1.722409,-0.02437896,0.8385804,-0.3911232,0.3792174,5/12/2023 2:23:33 PM
422.950123328,7,1,1,1,1,0,0.08282865,1.722371,-0.02398684,0.8397074,-0.3992037,0.3681412,5/12/2023 2:23:33 PM
422.978675255,7,1,1,1,1,0,0.08319002,1.72256,-0.02416981,0.8391662,-0.3977724,0.3709139,5/12/2023 2:23:33 PM
422.990139265,7,1,1,1,1,0,0.08378743,1.722591,-0.02454288,0.8376471,-0.3941251,0.3781705,5/12/2023 2:23:33 PM
423.017223692,7,1,1,1,1,0,0.1070884,1.721163,-0.04539565,0.784692,-0.4117861,0.4633474,5/12/2023 2:23:33 PM
423.033014161,7,1,1,1,1,0,0.08253527,1.722572,-0.02308558,0.8449241,-0.394854,0.3608237,5/12/2023 2:23:33 PM
423.060232963,7,1,1,1,1,0,0.08298807,1.722489,-0.02333529,0.8400123,-0.3929793,0.3740945,5/12/2023 2:23:33 PM
423.074110411,7,1,1,1,1,0,0.08284367,1.722505,-0.02316237,0.8391415,-0.3969648,0.3718343,5/12/2023 2:23:33 PM
423.088397286,7,1,1,1,1,0,0.08287428,1.722481,-0.02313491,0.8367875,-0.4029579,0.3706914,5/12/2023 2:23:33 PM
423.11500838,57,1,1,1,1,0,0.08906531,1.722258,-0.02842125,0.7953119,-0.3833205,0.4696214,5/12/2023 2:23:33 PM
423.131378484,57,1,1,1,1,0,0.09103196,1.72224,-0.0300738,0.8036831,-0.3148646,0.5049294,5/12/2023 2:23:33 PM
423.158170463,57,1,1,1,1,0,0.0939808,1.72206,-0.03260316,0.7962589,-0.3196118,0.5136341,5/12/2023 2:23:33 PM
423.173698015,57,1,1,1,1,0,0.09489116,1.721987,-0.03344249,0.79216,-0.3415851,0.505769,5/12/2023 2:23:33 PM
423.198400567,57,1,1,1,1,0,0.09354866,1.722034,-0.03213396,0.7982426,-0.3295476,0.5041897,5/12/2023 2:23:33 PM
423.213169421,57,1,1,1,1,0,0.09360895,1.722007,-0.03217804,0.7981867,-0.3300742,0.5039337,5/12/2023 2:23:33 PM
423.228907338,57,1,1,1,1,0,0.09246071,1.722067,-0.03112374,0.8007976,-0.323794,0.5038659,5/12/2023 2:23:33 PM
423.255612911,56,1,1,1,1,0,0.09773928,1.726431,-0.004316688,0.6682873,0.04780096,0.742366,5/12/2023 2:23:33 PM
423.270246505,56,1,1,1,1,0,0.09788865,1.726344,-0.004422426,0.6697696,0.0453329,0.7411839,5/12/2023 2:23:33 PM
423.297352651,56,1,1,1,1,0,0.09834157,1.726063,-0.004741907,0.6727186,0.04155744,0.7387304,5/12/2023 2:23:33 PM
423.311810203,56,1,1,1,1,0,0.09864315,1.725913,-0.004888773,0.6745561,0.03944955,0.7371687,5/12/2023 2:23:33 PM
423.339369994,56,1,1,1,1,0,0.0996324,1.725476,-0.005172372,0.6785626,0.03487424,0.7337143,5/12/2023 2:23:33 PM
423.353378067,56,1,1,1,1,0,0.1000072,1.725232,-0.005227923,0.6805947,0.03238148,0.7319441,5/12/2023 2:23:33 PM
423.380804421,57,1,1,1,1,0,0.06397012,1.723405,-0.002562477,0.8050235,-0.3180336,0.5007914,5/12/2023 2:23:33 PM
423.394211453,57,1,1,1,1,0,0.06459825,1.722896,-0.002455883,0.8053424,-0.321034,0.4983583,5/12/2023 2:23:33 PM
423.409216765,57,1,1,1,1,0,0.1007499,1.720014,-0.03699205,0.7431178,-0.3759355,0.5535778,5/12/2023 2:23:33 PM
423.436094942,57,1,1,1,1,0,0.09781887,1.719432,-0.0336621,0.7730019,-0.3151292,0.5506011,5/12/2023 2:23:33 PM
423.44975338,57,1,1,1,1,0,0.09435102,1.719488,-0.03006256,0.7831035,-0.2925587,0.5487791,5/12/2023 2:23:33 PM
423.478079265,57,1,1,1,1,0,0.09058491,1.71926,-0.02582826,0.7928311,-0.2889594,0.5365831,5/12/2023 2:23:33 PM
423.493225359,57,1,1,1,1,0,0.08604138,1.719288,-0.02088341,0.7874002,-0.30601,0.5351251,5/12/2023 2:23:33 PM
423.520294838,57,1,1,1,1,0,0.09406301,1.718074,-0.02806555,0.7866586,-0.2923278,0.5437947,5/12/2023 2:23:33 PM
423.534377234,57,1,1,1,1,0,0.09311669,1.71784,-0.0268023,0.7926742,-0.2839051,0.5395049,5/12/2023 2:23:33 PM
423.547940255,57,1,1,1,1,0,0.09447514,1.71764,-0.02796869,0.7889448,-0.29357,0.5397989,5/12/2023 2:23:33 PM
423.576893328,57,1,1,1,1,0,0.09421393,1.716979,-0.02689155,0.8207007,-0.3316301,0.4652656,5/12/2023 2:23:33 PM
